User ID,Order,Bin(0) Economic assistance to needy people around the world,Bin(1) Economic assistance to needy people in the U.S.,Bin(2) Anti-terrorism defenses in the U.S.,Bin(3) Health care,"Bin(4) Rebuilding highways, bridges and roads",Bin(5) Environmental protection,Bin(6) Medicare,Bin(7) Education,Bin(8) Government assistance for the unemployed,Bin(9) Scientific research,Bin(10) Military defense,Bin(11) Social Security,Bin(12) Veterans benefits and services,Survey(0) Economic assistance to needy people around the world,Survey(1) Economic assistance to needy people in the U.S.,Survey(2) Anti-terrorism defenses in the U.S.,Survey(3) Health care,"Survey(4) Rebuilding highways, bridges and roads",Survey(5) Environmental protection,Survey(6) Medicare,Survey(7) Education,Survey(8) Government assistance for the unemployed,Survey(9) Scientific research,Survey(10) Military defense,Survey(11) Social Security,Survey(12) Veterans benefits and services
41,1,0,0,5,6,0,0,0,0,0,5,4,1,3,10,8,6,10,5,5,8,7,8,8,7,9,9
41,1,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,1,1,1,2,1,1,3,2,1,2,3,5,1,1,6,10,13,4,6,11,7,6,8,8,16,4
45,1,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,0,3,0,0,3,3,0,1,0,2,4,4,2,1,10,2,14,3,11,9,11,6,6,5,18,4
47,1,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,0,0,0,0,0,1,1,3,0,0,2,2,0,0,10,10,9,3,2,15,7,6,4,8,22,4
53,1,0,0,0,1,0,2,1,0,0,4,1,0,0,,,,,,,,,,,,,
54,1,0,1,1,2,5,2,1,4,1,3,0,2,1,,,,,,,,,,,,,
55,1,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,1,0,0,0,0,1,0,5,0,1,0,0,0,1,8,8,11,23,1,12,4,7,1,4,17,3
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,9,1,5,3,3,6,4,48,5,4
63,1,0,0,0,2,3,0,3,6,0,3,2,3,0,,,,,,,,,,,,,
63,1,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,1,2,1,2,2,2,2,3,1,3,1,3,1,1,10,5,14,3,1,15,10,9,5,5,15,7
66,1,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,0,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,
72,0,4,6,4,8,4,19,0,4,6,1,0,3,0,,,,,,,,,,,,,
73,0,0,1,0,7,0,19,4,1,0,15,0,6,0,1,10,7,14,3,1,15,5,9,1,8,22,4
74,1,0,1,0,1,1,1,1,0,0,1,1,2,0,,,,,,,,,,,,,
75,1,0,0,0,0,0,2,0,0,0,0,7,5,0,,,,,,,,,,,,,
77,1,2,2,1,3,1,2,2,2,0,2,1,2,1,5,10,6,18,3,4,5,8,10,3,5,19,4
78,1,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,5,6,5,6,6,5,7,6,5,6,6,7,5,1,10,7,14,3,1,15,5,9,1,8,22,4
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
82,0,0,1,0,2,0,0,0,1,1,1,1,1,1,4,7,7,14,6,5,14,9,4,4,5,15,6
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5,15,3,4,15,9,9,1,4,12,3
84,1,0,0,0,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,,
85,0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,0,1,1,1,1,0,0,1,0,1,1,1,1,,,,,,,,,,,,,
87,0,2,0,1,2,0,0,2,1,0,0,0,1,0,10,10,10,15,3,12,12,5,5,5,5,5,3
88,0,0,2,0,0,1,0,0,1,1,1,0,3,0,1,8,5,15,3,2,12,8,7,8,5,22,4
89,1,0,1,0,2,0,2,0,2,0,2,0,0,0,1,10,6,17,2,2,15,7,9,2,7,18,4
90,1,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,0,1,1,2,0,0,2,0,1,0,0,2,0,1,10,7,14,3,1,15,5,9,1,8,22,4
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,14,3,1,15,5,9,1,8,22,4
93,0,1,1,2,1,1,3,1,3,1,2,4,2,2,1,6,8,12,4,9,8,7,4,9,11,12,9
95,1,0,1,1,1,1,1,1,0,1,0,0,1,0,5,6,6,8,5,7,10,7,10,6,4,22,4
95,1,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,1,0,0,2,0,0,1,1,1,0,1,1,1,8,5,7,15,5,4,12,6,7,1,8,18,4
101,1,0,0,1,1,0,2,1,1,1,1,0,1,0,1,7,7,12,2,10,13,7,7,5,8,17,4
103,1,2,1,0,1,1,1,1,1,0,0,0,1,0,7,3,5,12,5,5,16,7,10,3,4,16,7
104,0,1,5,2,13,14,6,8,9,3,3,3,8,2,2,5,2,13,19,5,10,15,3,5,2,15,4
105,0,0,4,0,3,1,0,4,0,4,0,0,5,0,0,20,0,20,0,0,20,20,5,0,0,15,0
106,1,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,0,0,0,0,0,0,0,0,0,0,9,0,0,,,,,,,,,,,,,
110,1,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,3,1,1,3,2,3,3,3,1,1,1,1,1,1,10,7,14,3,1,15,5,9,1,8,22,4
111,1,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,2,1,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
113,1,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,2,1,1,2,4,1,2,4,2,1,2,2,0,4,5,5,15,10,5,10,10,1,2,18,10,5
115,0,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,0,0,2,2,0,3,4,5,0,12,3,5,0,1,5,7,14,3,7,12,5,9,17,8,8,4
117,0,1,0,1,2,0,1,0,2,0,2,1,12,2,1,10,10,18,9,2,12,7,9,5,2,12,3
118,1,2,0,1,1,4,3,1,3,0,1,3,3,0,1,10,7,14,3,1,15,5,9,1,8,22,4
119,0,2,1,2,2,1,2,2,2,2,2,2,2,2,7,10,8,10,5,5,15,8,1,3,6,14,8
120,0,0,0,2,2,2,0,0,1,0,0,1,0,1,1,3,6,7,10,2,8,10,2,7,10,18,16
121,0,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,0,0,0,0,0,0,0,0,0,5,2,1,1,1,10,7,14,3,1,15,5,9,1,8,22,4
124,1,1,2,1,3,1,1,4,1,1,0,3,1,0,1,10,7,14,3,1,15,5,9,1,8,22,4
125,1,0,0,2,0,2,0,0,1,2,0,0,1,0,1,10,7,14,3,1,15,5,9,1,8,22,4
126,1,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,6,8,8,3,7,12,13,4,8,10,15,4
134,1,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,14,3,1,15,5,9,1,8,22,4
139,1,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,9,0,15,0,0,0,0,0,0,0,0,0,0,8,8,8,9,7,8,8,9,7,7,7,7,7
143,1,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1,1,3,0,5,0,2,0,5,0,0,5,3,0,2,10,3,12,3,9,5,15,6,10,7,13,5
147,1,1,0,1,1,0,0,1,1,1,1,0,1,1,2,10,7,14,3,3,15,5,9,1,5,22,4
148,0,1,2,1,2,2,2,2,2,2,2,1,2,2,1,15,3,7,10,8,9,10,10,5,4,10,8
149,0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,10,7,14,3,1,15,5,9,1,8,22,4
151,1,1,2,0,0,1,2,1,2,0,0,0,0,0,3,7,3,12,6,12,13,10,4,11,2,12,5
152,1,0,2,0,0,1,0,0,1,0,1,2,1,1,2,10,5,8,3,5,4,10,7,13,15,12,6
153,1,1,1,0,1,1,0,1,1,0,0,1,1,1,5,8,8,10,12,10,5,7,8,4,7,12,4
154,0,1,1,1,1,0,1,0,2,0,0,1,0,0,10,10,5,20,5,5,10,10,5,5,5,5,5
156,1,1,1,1,0,1,1,0,0,0,1,1,2,0,5,10,7,14,3,3,13,5,9,3,8,15,5
157,0,0,0,0,0,0,0,0,5,0,0,0,0,4,10,10,5,20,5,1,15,5,5,1,0,21,2
158,1,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
164,1,0,3,0,3,0,0,0,0,1,0,0,1,1,2,18,2,13,7,11,10,7,9,1,1,18,1
165,1,0,0,1,3,2,2,2,4,2,2,3,3,0,1,10,5,14,5,2,10,9,9,2,8,21,4
166,0,1,3,1,6,1,2,3,2,1,1,0,2,1,3,7,3,14,7,10,15,7,6,2,3,19,4
167,0,0,2,2,2,1,3,3,2,2,3,2,2,0,0,8,10,10,3,2,10,5,9,10,8,20,5
168,0,0,2,0,1,0,0,0,4,1,0,0,0,0,5,20,4,14,5,1,10,20,10,1,0,10,0
169,0,0,1,0,1,0,3,0,2,1,0,0,0,0,5,9,5,7,3,15,7,12,9,10,5,10,3
172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
173,0,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,
177,0,0,0,1,1,0,0,1,0,1,0,2,1,1,5,12,5,14,3,5,15,10,7,4,3,12,5
